Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","29/03/2025 19:07 UTC"
"Last updated:","8 October 2024"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
Origin:,"214,213,211,210,174,207,204,203,201,262,202,186,70,198,200,199,197,187,190,196,195,194,193,192,191,218,188,189,185,184,183,246,178,177,216,69,112,173,179,245,159,172,171,181,180,255,168,169,166,164,165,163,176,170,208,249,261,206,108,175,161,160,158,222,122,102,157,156,155,154,151,150,149,153,148,152,147,146,143,233,120,142,141,139,140,145,62,138,137,144,136,135,131,130,228,133,129,121,66,124,134,119,118,125,132,126,123,127,128,117,114,113,111,107,106,110,109,115,105,100,104,101,99,98,96,97,95,94,93,90,92,91,89,88,86,85,83,205,81,80,75,79,78,232,227,77,253,76,74,73,72,71,68,67,63,59,64,61,60,65,58,182,57,56,55,162,8,54,53,52,51,50,41,103,49,48,254,390,46,84,290,87,45,43,40,42,44,116,82,37,38,36,34,35,33,39,32,47,16,23,30,28,225,27,238,26,29,229,25,22,19,18,31,17,24,15,20,14,21,13,12,11,224,10,9,7,223,6,5,4,3,2,263,278"
"Country of asylum:","70,200,196,184,183,246,173,181,180,164,170,160,158,122,155,154,143,120,138,133,121,132,114,113,111,115,94,90,86,85,205,253,76,74,72,71,64,61,65,57,50,49,48,84,30,238,29,17,24,13,12,10,5,3"
Year,"Country of origin","Country of asylum","Refugees under UNHCR's mandate",Asylum-seekers,"Returned refugees","IDPs of concern to UNHCR","Returned IDPss","Stateless persons","Others of concern","Other people in need of international protection","Host Community"
2007,Afghanistan,Sweden,2611,624,11,0,0,0,0,,0
2007,Afghanistan,Switzerland,1609,251,8,0,0,0,0,,0
2007,Afghanistan,Türkiye,212,701,0,0,0,0,0,,0
2007,Afghanistan,Ukraine,1171,319,7,0,0,0,0,,0
2007,Albania,Austria,168,276,0,0,0,0,0,,0
2007,Albania,Belgium,156,0,0,0,0,0,0,,0
2007,Albania,Bulgaria,10,5,0,0,0,0,0,,0
2007,Albania,Czechia,12,0,0,0,0,0,0,,0
2007,Albania,Denmark,45,0,0,0,0,0,0,,0
2007,Albania,Finland,18,5,0,0,0,0,0,,0
2007,Albania,France,1298,0,0,0,0,0,0,,0
2007,Albania,"United Kingdom of Great Britain and Northern Ireland",1445,0,0,0,0,0,0,,0
2007,Albania,Germany,1011,88,0,0,0,0,0,,0
2007,Albania,Greece,5,30,0,0,0,0,0,,0
2007,Albania,Croatia,0,5,0,0,0,0,0,,0
2007,Albania,Hungary,0,5,0,0,0,0,0,,0
2007,Albania,Iceland,9,5,0,0,0,0,0,,0
2007,Albania,Ireland,170,95,0,0,0,0,0,,0
2007,Albania,Italy,234,0,0,0,0,0,0,,0
2007,Albania,"Netherlands (Kingdom of the)",69,0,0,0,0,0,0,,0
2007,Albania,Norway,53,24,0,0,0,0,0,,0
2007,Albania,Romania,5,0,0,0,0,0,0,,0
2007,Albania,Spain,36,0,0,0,0,0,0,,0
2007,Albania,Sweden,172,98,0,0,0,0,0,,0
2007,Albania,Switzerland,74,6,0,0,0,0,0,,0
2007,Algeria,Austria,22,273,0,0,0,0,0,,0
2007,Algeria,Belgium,54,0,0,0,0,0,0,,0
2007,Algeria,Bulgaria,21,0,0,0,0,0,0,,0
2007,Algeria,Cyprus,5,5,0,0,0,0,0,,0
2007,Algeria,Czechia,0,14,0,0,0,0,0,,0
2007,Algeria,Denmark,23,5,0,0,0,0,0,,0
2007,Algeria,Finland,34,9,0,0,0,0,0,,0
2007,Algeria,France,1240,0,0,0,0,0,0,,0
2007,Algeria,"United Kingdom of Great Britain and Northern Ireland",2443,0,0,0,0,0,0,,0
2007,Algeria,Germany,1299,328,0,0,0,0,0,,0
2007,Algeria,Greece,8,31,0,0,0,0,0,,0
2007,Algeria,Hungary,70,13,0,0,0,0,0,,0
2007,Algeria,Ireland,242,45,0,0,0,0,0,,0
2007,Algeria,Italy,55,0,0,0,0,0,0,,0
2007,Algeria,Malta,18,0,0,0,0,0,0,,0
2007,Algeria,"Netherlands (Kingdom of the)",193,0,0,0,0,0,0,,0
2007,Algeria,Norway,104,24,0,0,0,0,0,,0
2007,Algeria,Portugal,5,0,0,0,0,0,0,,0
2007,Algeria,Spain,386,0,0,0,0,0,0,,0
2007,Algeria,Sweden,81,122,0,0,0,0,0,,0
2007,Algeria,Switzerland,242,19,0,0,0,0,0,,0
2007,Algeria,Ukraine,0,5,0,0,0,0,0,,0
2007,Andorra,Germany,5,0,0,0,0,0,0,,0
2007,Angola,Austria,131,41,0,0,0,0,0,,0
2007,Angola,Belgium,133,0,0,0,0,0,0,,0
2007,Angola,Bulgaria,5,0,0,0,0,0,0,,0
2007,Angola,Czechia,22,12,0,0,0,0,0,,0
2007,Angola,Denmark,16,0,0,0,0,0,0,,0
2007,Angola,Finland,172,17,0,0,0,0,0,,0
2007,Angola,France,2722,0,0,0,0,0,0,,0
2007,Angola,"United Kingdom of Great Britain and Northern Ireland",3418,0,0,0,0,0,0,,0
2007,Angola,Germany,2408,191,0,0,0,0,0,,0
2007,Angola,Greece,0,5,0,0,0,0,0,,0
2007,Angola,Hungary,24,0,0,0,0,0,0,,0
2007,Angola,Ireland,365,68,0,0,0,0,0,,0
2007,Angola,Italy,128,0,0,0,0,0,0,,0
2007,Angola,"Netherlands (Kingdom of the)",2791,0,0,0,0,0,0,,0
2007,Angola,Norway,148,42,0,0,0,0,0,,0
2007,Angola,Poland,0,5,0,0,0,0,0,,0
2007,Angola,Portugal,11,0,0,0,0,0,0,,0
2007,Angola,"Russian Federation",8,10,0,0,0,0,0,,0
2007,Angola,Spain,69,0,0,0,0,0,0,,0
2007,Angola,Sweden,97,33,0,0,0,0,0,,0
2007,Angola,Switzerland,1967,74,0,0,0,0,0,,0
2007,Angola,Ukraine,30,13,0,0,0,0,0,,0
2007,Egypt,Austria,33,88,0,0,0,0,0,,0
2007,Egypt,Cyprus,21,309,0,0,0,0,0,,0
2007,Egypt,Czechia,0,8,0,0,0,0,0,,0
2007,Egypt,Denmark,17,0,0,0,0,0,0,,0
2007,Egypt,France,104,0,0,0,0,0,0,,0
2007,Egypt,"United Kingdom of Great Britain and Northern Ireland",21,0,0,0,0,0,0,,0
2007,Egypt,Germany,616,41,0,0,0,0,0,,0
2007,Egypt,Greece,0,28,0,0,0,0,0,,0
2007,Egypt,Hungary,5,27,0,0,0,0,0,,0
2007,Egypt,Ireland,33,6,0,0,0,0,0,,0
2007,Egypt,Italy,15,0,0,0,0,0,0,,0
2007,Egypt,"Rep. of Moldova",5,0,0,0,0,0,0,,0
2007,Egypt,Malta,5,0,0,0,0,0,0,,0
2007,Egypt,"Netherlands (Kingdom of the)",21,0,0,0,0,0,0,,0
2007,Egypt,Norway,6,18,0,0,0,0,0,,0
2007,Egypt,Romania,11,0,0,0,0,0,0,,0
2007,Egypt,Spain,10,0,0,0,0,0,0,,0
2007,Egypt,Sweden,109,131,0,0,0,0,0,,0
2007,Egypt,Switzerland,38,5,0,0,0,0,0,,0
2007,Egypt,Türkiye,5,0,0,0,0,0,0,,0
2007,Egypt,Ukraine,5,0,0,0,0,0,0,,0
2007,Argentina,France,5,0,0,0,0,0,0,,0
2007,Argentina,Germany,145,5,0,0,0,0,0,,0
2007,Argentina,Spain,434,0,0,0,0,0,0,,0
2007,Argentina,Sweden,5,0,0,0,0,0,0,,0
2007,Armenia,Austria,468,1714,0,0,0,0,0,,0
2007,Armenia,Belgium,45,0,0,0,0,0,0,,0
2007,Armenia,Bulgaria,20,29,0,0,0,0,0,,0
2007,Armenia,Cyprus,14,130,0,0,0,0,0,,0
2007,Armenia,Czechia,85,55,0,0,0,0,0,,0
2007,Armenia,Denmark,137,5,0,0,0,0,0,,0
2007,Armenia,Finland,11,5,0,0,0,0,0,,0
2007,Armenia,France,1716,0,0,0,0,0,0,,0
2007,Armenia,"United Kingdom of Great Britain and Northern Ireland",17,0,0,0,0,0,0,,0
2007,Armenia,Germany,2178,489,0,0,0,0,0,,0
2007,Armenia,Greece,5,15,0,0,0,0,0,,0
2007,Armenia,Hungary,145,5,0,0,0,0,0,,0
2007,Armenia,Iceland,5,0,0,0,0,0,0,,0
2007,Armenia,Ireland,40,21,0,0,0,0,0,,0
2007,Armenia,Italy,66,0,0,0,0,0,0,,0
2007,Armenia,Liechtenstein,14,0,0,0,0,0,0,,0
2007,Armenia,Latvia,0,5,0,0,0,0,0,,0
2007,Armenia,"Rep. of Moldova",26,16,0,0,0,0,0,,0
2007,Armenia,"Netherlands (Kingdom of the)",1180,0,0,0,0,0,0,,0
2007,Armenia,Norway,81,10,0,0,0,0,0,,0
2007,Armenia,Poland,12,0,0,0,0,0,0,,0
2007,Armenia,"Russian Federation",0,7,0,0,0,0,0,,0
2007,Armenia,Spain,197,0,0,0,0,0,0,,0
2007,Armenia,Slovakia,5,8,0,0,0,0,0,,0
2007,Armenia,Sweden,566,223,0,0,0,0,0,,0
2007,Armenia,Switzerland,89,33,0,0,0,0,0,,0
2007,Armenia,Ukraine,205,20,0,0,0,0,0,,0
2007,Australia,Germany,57,0,0,0,0,0,0,,0
2007,Austria,Germany,14,0,0,0,0,0,0,,0
2007,Azerbaijan,Armenia,3815,0,0,0,0,0,0,,0
2007,Azerbaijan,Austria,208,322,0,0,0,0,0,,0
2007,Azerbaijan,Azerbaijan,0,0,0,686586,0,0,0,,0
2007,Azerbaijan,Belgium,38,0,0,0,0,0,0,,0
2007,Azerbaijan,Belarus,28,0,0,0,0,0,0,,0
2007,Azerbaijan,Bulgaria,5,17,0,0,0,0,0,,0
2007,Azerbaijan,Czechia,26,11,0,0,0,0,0,,0
2007,Azerbaijan,Denmark,115,12,0,0,0,0,0,,0
2007,Azerbaijan,Finland,55,0,0,0,0,0,0,,0
2007,Azerbaijan,France,1439,0,0,0,0,0,0,,0
2007,Azerbaijan,"United Kingdom of Great Britain and Northern Ireland",45,0,0,0,0,0,0,,0
2007,Azerbaijan,Georgia,5,0,0,0,0,0,0,,0
2007,Azerbaijan,Germany,4507,946,0,0,0,0,0,,0
2007,Azerbaijan,Greece,13,5,0,0,0,0,0,,0
2007,Azerbaijan,Hungary,5,8,0,0,0,0,0,,0
2007,Azerbaijan,Ireland,29,6,0,0,0,0,0,,0
2007,Azerbaijan,Italy,34,0,0,0,0,0,0,,0
2007,Azerbaijan,Lithuania,5,0,0,0,0,0,0,,0
2007,Azerbaijan,Latvia,5,0,0,0,0,0,0,,0
2007,Azerbaijan,"Rep. of Moldova",5,5,0,0,0,0,0,,0
2007,Azerbaijan,"Netherlands (Kingdom of the)",2299,0,0,0,0,0,0,,0
2007,Azerbaijan,Norway,53,65,0,0,0,0,0,,0
2007,Azerbaijan,Poland,10,5,0,0,0,0,0,,0
2007,Azerbaijan,Romania,5,0,0,0,0,0,0,,0
2007,Azerbaijan,"Russian Federation",23,27,0,0,0,0,0,,0
2007,Azerbaijan,Spain,47,0,0,0,0,0,0,,0
2007,Azerbaijan,Sweden,597,336,0,0,0,0,0,,0
2007,Azerbaijan,Switzerland,49,23,0,0,0,0,0,,0
2007,Azerbaijan,Türkiye,5,0,0,0,0,0,0,,0
2007,Azerbaijan,Ukraine,184,11,0,0,0,0,0,,0
2007,Bahrain,Germany,9,0,0,0,0,0,0,,0
2007,Bahrain,Ireland,0,5,0,0,0,0,0,,0
2007,Bahrain,Sweden,12,6,0,0,0,0,0,,0
2007,Barbados,Germany,9,0,0,0,0,0,0,,0
2007,Burundi,Austria,15,17,0,0,0,0,0,,0
2007,Burundi,Belgium,258,0,0,0,0,0,0,,0
2007,Burundi,Denmark,224,0,0,0,0,0,0,,0
2007,Burundi,France,288,0,0,0,0,0,0,,0
2007,Burundi,"United Kingdom of Great Britain and Northern Ireland",1781,0,0,0,0,0,0,,0
2007,Burundi,Germany,120,25,0,0,0,0,0,,0
2007,Burundi,Greece,18,0,0,0,0,0,0,,0
2007,Burundi,Hungary,5,0,0,0,0,0,0,,0
2007,Burundi,Ireland,51,23,0,0,0,0,0,,0
2007,Burundi,Italy,15,0,0,0,0,0,0,,0
2007,Burundi,"Netherlands (Kingdom of the)",2254,0,0,0,0,0,0,,0
2007,Burundi,Norway,386,95,0,0,0,0,0,,0
2007,Burundi,Sweden,1222,246,0,0,0,0,0,,0
2007,Burundi,Switzerland,130,5,0,0,0,0,0,,0
2007,Burundi,Türkiye,0,5,0,0,0,0,0,,0
2007,Burundi,Ukraine,7,0,0,0,0,0,0,,0
2007,Belgium,Germany,7,0,0,0,0,0,0,,0
2007,Belgium,Ireland,13,0,0,0,0,0,0,,0
2007,Belgium,Sweden,14,0,0,0,0,0,0,,0
2007,Benin,Austria,5,12,0,0,0,0,0,,0
2007,Benin,Belgium,5,0,0,0,0,0,0,,0
2007,Benin,France,13,0,0,0,0,0,0,,0
2007,Benin,"United Kingdom of Great Britain and Northern Ireland",7,0,0,0,0,0,0,,0
2007,Benin,Germany,97,38,0,0,0,0,0,,0
2007,Benin,Greece,0,5,0,0,0,0,0,,0
2007,Benin,Ireland,0,7,0,0,0,0,0,,0
2007,Benin,Italy,11,0,0,0,0,0,0,,0
2007,Benin,"Netherlands (Kingdom of the)",10,0,0,0,0,0,0,,0
2007,Benin,Sweden,5,6,0,0,0,0,0,,0
2007,Benin,Switzerland,12,15,0,0,0,0,0,,0
2007,Bangladesh,Austria,9,317,0,0,0,0,0,,0
2007,Bangladesh,Belgium,8,0,0,0,0,0,0,,0
2007,Bangladesh,Bulgaria,14,5,0,0,0,0,0,,0
2007,Bangladesh,Cyprus,0,558,0,0,0,0,0,,0
2007,Bangladesh,Czechia,0,17,0,0,0,0,0,,0
2007,Bangladesh,Denmark,5,5,0,0,0,0,0,,0
2007,Bangladesh,Finland,43,9,0,0,0,0,0,,0
2007,Bangladesh,France,1495,0,0,0,0,0,0,,0
2007,Bangladesh,"United Kingdom of Great Britain and Northern Ireland",1921,0,0,0,0,0,0,,0
2007,Bangladesh,Germany,456,84,0,0,0,0,0,,0
2007,Bangladesh,Greece,20,179,0,0,0,0,0,,0
2007,Bangladesh,Hungary,5,5,0,0,0,0,0,,0
2007,Bangladesh,Ireland,19,27,0,0,0,0,0,,0
2007,Bangladesh,Italy,434,0,0,0,0,0,0,,0
2007,Bangladesh,Latvia,0,6,0,0,0,0,0,,0
2007,Bangladesh,"Netherlands (Kingdom of the)",45,0,0,0,0,0,0,,0
2007,Bangladesh,Norway,21,16,0,0,0,0,0,,0
2007,Bangladesh,Poland,0,11,0,0,0,0,0,,0
2007,Bangladesh,Romania,0,7,0,0,0,0,0,,0
2007,Bangladesh,Spain,5,0,0,0,0,0,0,,0
2007,Bangladesh,Slovakia,0,10,0,0,0,0,0,,0
2007,Bangladesh,Sweden,279,125,0,0,0,0,0,,0
2007,Bangladesh,Switzerland,35,15,0,0,0,0,0,,0
2007,Bangladesh,Ukraine,0,105,0,0,0,0,0,,0
2007,Bahamas,Germany,5,0,0,0,0,0,0,,0
2007,Bhutan,Belgium,5,0,0,0,0,0,0,,0
2007,Bhutan,Denmark,6,0,0,0,0,0,0,,0
2007,Bhutan,France,23,0,0,0,0,0,0,,0
2007,Bhutan,"United Kingdom of Great Britain and Northern Ireland",28,0,0,0,0,0,0,,0
2007,Bhutan,Germany,82,17,0,0,0,0,0,,0
2007,Bhutan,Ireland,10,28,0,0,0,0,0,,0
2007,Bhutan,"Netherlands (Kingdom of the)",30,0,0,0,0,0,0,,0
2007,Bhutan,Norway,13,23,0,0,0,0,0,,0
2007,Bhutan,Sweden,0,8,0,0,0,0,0,,0
2007,"Burkina Faso",Austria,5,13,0,0,0,0,0,,0
2007,"Burkina Faso",Belgium,11,0,0,0,0,0,0,,0
2007,"Burkina Faso",Cyprus,0,8,0,0,0,0,0,,0
2007,"Burkina Faso",France,40,0,0,0,0,0,0,,0
2007,"Burkina Faso","United Kingdom of Great Britain and Northern Ireland",5,0,0,0,0,0,0,,0
2007,"Burkina Faso",Germany,110,48,0,0,0,0,0,,0
2007,"Burkina Faso",Greece,0,21,0,0,0,0,0,,0
2007,"Burkina Faso",Italy,87,0,0,0,0,0,0,,0
2007,"Burkina Faso",Malta,0,5,0,0,0,0,0,,0
2007,"Burkina Faso","Netherlands (Kingdom of the)",7,0,0,0,0,0,0,,0
2007,"Burkina Faso",Norway,0,5,0,0,0,0,0,,0
2007,"Burkina Faso",Spain,6,0,0,0,0,0,0,,0
2007,"Burkina Faso",Sweden,0,5,0,0,0,0,0,,0
2007,"Burkina Faso",Switzerland,5,8,0,0,0,0,0,,0
2007,Belarus,Austria,43,216,0,0,0,0,0,,0
2007,Belarus,Belgium,159,0,0,0,0,0,0,,0
2007,Belarus,Cyprus,0,7,0,0,0,0,0,,0
2007,Belarus,Czechia,248,161,0,0,0,0,0,,0
2007,Belarus,Denmark,39,0,0,0,0,0,0,,0
2007,Belarus,Estonia,0,5,0,0,0,0,0,,0
2007,Belarus,Finland,41,8,0,0,0,0,0,,0
2007,Belarus,France,391,0,0,0,0,0,0,,0
2007,Belarus,"United Kingdom of Great Britain and Northern Ireland",46,0,0,0,0,0,0,,0
2007,Belarus,Germany,1669,63,0,0,0,0,0,,0
2007,Belarus,Hungary,5,5,0,0,0,0,0,,0
2007,Belarus,Ireland,51,30,0,0,0,0,0,,0
2007,Belarus,Italy,12,0,0,0,0,0,0,,0
2007,Belarus,Lithuania,6,0,0,0,0,0,0,,0
2007,Belarus,Latvia,5,0,0,0,0,0,0,,0
2007,Belarus,"Netherlands (Kingdom of the)",87,0,0,0,0,0,0,,0
2007,Belarus,Norway,64,17,0,0,0,0,0,,0
2007,Belarus,Poland,128,43,0,0,0,0,0,,0
2007,Belarus,Portugal,11,0,0,0,0,0,0,,0
2007,Belarus,"Russian Federation",0,15,0,0,0,0,0,,0
2007,Belarus,Spain,36,0,0,0,0,0,0,,0
2007,Belarus,Sweden,191,368,0,0,0,0,0,,0
2007,Belarus,Switzerland,24,21,0,0,0,0,0,,0
2007,Belarus,Ukraine,0,7,0,0,0,0,0,,0
2007,"Bolivia (Plurinational State of)",Austria,6,21,0,0,0,0,0,,0
2007,"Bolivia (Plurinational State of)",Belgium,9,0,0,0,0,0,0,,0
2007,"Bolivia (Plurinational State of)",Finland,13,0,0,0,0,0,0,,0
2007,"Bolivia (Plurinational State of)",France,36,0,0,0,0,0,0,,0
2007,"Bolivia (Plurinational State of)","United Kingdom of Great Britain and Northern Ireland",14,0,0,0,0,0,0,,0
2007,"Bolivia (Plurinational State of)",Germany,62,0,0,0,0,0,0,,0
2007,"Bolivia (Plurinational State of)",Sweden,57,306,0,0,0,0,0,,0
2007,"Bolivia (Plurinational State of)",Switzerland,5,0,0,0,0,0,0,,0
2007,Botswana,Germany,5,0,0,0,0,0,0,,0
2007,Botswana,Ireland,0,5,0,0,0,0,0,,0
2007,Brazil,France,9,0,0,0,0,0,0,,0
2007,Brazil,Germany,913,0,0,0,0,0,0,,0
2007,Brazil,Ireland,5,5,0,0,0,0,0,,0
2007,Brazil,Italy,5,0,0,0,0,0,0,,0
2007,Brazil,"Netherlands (Kingdom of the)",5,0,0,0,0,0,0,,0
2007,Brazil,Switzerland,5,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Austria,171,392,54,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Belgium,112,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina","Bosnia and Herzegovina",0,0,0,130984,4516,0,0,,0
2007,"Bosnia and Herzegovina",Bulgaria,35,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Cyprus,15,25,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Czechia,11,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Denmark,1309,22,29,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Finland,120,9,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",France,3780,0,40,0,0,0,0,,0
2007,"Bosnia and Herzegovina","United Kingdom of Great Britain and Northern Ireland",93,0,19,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Germany,26261,319,98,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Greece,0,5,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Croatia,1336,0,72,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Hungary,15,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Ireland,11,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Italy,64,0,9,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Liechtenstein,0,5,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina","North Macedonia",21,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Montenegro,6166,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina","Netherlands (Kingdom of the)",1140,0,21,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Norway,553,6,5,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Romania,5,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Spain,29,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina","Serbia and Kosovo: S/RES/1244 (1999)",27328,0,49,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Slovenia,137,5,56,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Sweden,4086,180,62,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Switzerland,4900,41,160,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Türkiye,13,0,0,0,0,0,0,,0
2007,"Bosnia and Herzegovina",Ukraine,5,0,0,0,0,0,0,,0
2007,Bulgaria,Austria,5,24,0,0,0,0,0,,0
2007,Bulgaria,Belgium,45,0,0,0,0,0,0,,0
2007,Bulgaria,Czechia,25,0,0,0,0,0,0,,0
2007,Bulgaria,Finland,5,5,0,0,0,0,0,,0
2007,Bulgaria,France,81,0,0,0,0,0,0,,0
2007,Bulgaria,"United Kingdom of Great Britain and Northern Ireland",11,0,0,0,0,0,0,,0
2007,Bulgaria,Germany,281,23,0,0,0,0,0,,0
2007,Bulgaria,Ireland,45,0,0,0,0,0,0,,0
2007,Bulgaria,"Netherlands (Kingdom of the)",10,0,0,0,0,0,0,,0
2007,Bulgaria,Norway,8,0,0,0,0,0,0,,0
2007,Bulgaria,Sweden,32,29,0,0,0,0,0,,0
2007,Bulgaria,Switzerland,19,7,0,0,0,0,0,,0
2007,Cambodia,Austria,13,0,0,0,0,0,0,,0
2007,Cambodia,Belgium,29,0,0,0,0,0,0,,0
2007,Cambodia,Denmark,6,0,0,0,0,0,0,,0
2007,Cambodia,Finland,7,0,0,0,0,0,0,,0
2007,Cambodia,France,13370,0,0,0,0,0,0,,0
2007,Cambodia,Germany,113,20,0,0,0,0,0,,0
2007,Cambodia,Ireland,14,0,0,0,0,0,0,,0
2007,Cambodia,Italy,6,0,0,0,0,0,0,,0
2007,Cambodia,"Netherlands (Kingdom of the)",14,0,0,0,0,0,0,,0
2007,Cambodia,Norway,6,0,0,0,0,0,0,,0
2007,Cambodia,Sweden,7,0,0,0,0,0,0,,0
2007,Cambodia,Switzerland,489,0,0,0,0,0,0,,0
2007,Canada,Germany,487,0,0,0,0,0,0,,0
2007,"Central African Rep.",Belgium,5,0,0,0,0,0,0,,0
2007,"Central African Rep.",France,497,0,0,0,0,0,0,,0
2007,"Central African Rep.",Germany,15,0,0,0,0,0,0,,0
2007,"Central African Rep.",Greece,9,0,0,0,0,0,0,,0
2007,"Central African Rep.",Ireland,7,5,0,0,0,0,0,,0
