Country,Year,GDP
Finland,2021,294223210496.1193
Finland,2022,280241515774.3201
Finland,2023,295532341254.90717
France,2005,2192146403028.1702
France,2006,2317861544690.8203
France,2007,2655816911866.5576
France,2008,2926802941585.859
France,2009,2700075882518.9824
France,2010,2646230027988.3384
France,2011,2870408553990.278
France,2012,2683007095787.227
France,2013,2816077607875.2627
France,2014,2861236112552.4214
France,2015,2442483452642.4985
France,2016,2470407619777.1265
France,2017,2588868323334.7104
France,2018,2781576320884.39
France,2019,2722793515171.7603
France,2020,2647926055110.0464
France,2021,2966433692008.092
France,2022,2796302210398.8438
France,2023,3051831611384.76
United Kingdom,2005,2543180000000
United Kingdom,2006,2708441582336.7065
United Kingdom,2007,3090510204081.6323
United Kingdom,2008,2929411764705.8823
United Kingdom,2009,2412840006231.5
United Kingdom,2010,2485482596184.7095
United Kingdom,2011,2663805834828.0723
United Kingdom,2012,2707089726614.636
United Kingdom,2013,2784853502534.292
United Kingdom,2014,3064708247921.4277
United Kingdom,2015,2927911140916.7314
United Kingdom,2016,2689106566899.611
United Kingdom,2017,2680148052335.299
United Kingdom,2018,2871340347581.7856
United Kingdom,2019,2851407164907.808
United Kingdom,2020,2696778386607.6523
United Kingdom,2021,3143323050707.2583
United Kingdom,2022,3114042471144.3877
United Kingdom,2023,3380854520809.537
Croatia,2005,45013119281.80604
Croatia,2006,49590197656.5482
Croatia,2007,59298265769.99456
Croatia,2008,68478776205.98263
Croatia,2009,62321642125.17209
Croatia,2010,58981738868.75296
Croatia,2011,62903737379.78343
Croatia,2012,57551963753.210396
Croatia,2013,59852401272.32039
Croatia,2014,59612144078.413345
Croatia,2015,51005200669.69412
Croatia,2016,52654855638.1057
Croatia,2017,56186190437.99587
Croatia,2018,61668130122.58781
Croatia,2019,61467582193.682434
Croatia,2020,57963370885.07977
Croatia,2021,69006802298.6956
Croatia,2022,71198635101.95143
Croatia,2023,84393795502.44211
Hungary,2005,113211158292.9365
Hungary,2006,115715618613.05196
Hungary,2007,140186716681.42496
Hungary,2008,158325614580.628
Hungary,2009,131069255620.56659
Hungary,2010,132175349953.71332
Hungary,2011,141942264554.47513
Hungary,2012,128814279315.1317
Hungary,2013,135684315697.71341
Hungary,2014,141033843265.66858
Hungary,2015,125174166987.37169
Hungary,2016,128609822750.03862
Hungary,2017,143112196040.32568
Hungary,2018,160565642983.58676
Hungary,2019,164020460331.65897
Hungary,2020,157288955508.17633
Hungary,2021,182109999477.69073
Hungary,2022,177006128624.62692
Hungary,2023,212388906458.72394
Ireland,2005,211876989655.90652
Ireland,2006,232180617162.2785
Ireland,2007,270079279419.50046
Ireland,2008,275447471451.06323
Ireland,2009,236443117248.47717
Ireland,2010,221985621537.50043
Ireland,2011,241337364609.73782
Ireland,2012,227270922957.327
Ireland,2013,243301556084.98892
Ireland,2014,266787238499.03003
Ireland,2015,302391428540.03467
Ireland,2016,305733136180.907
Ireland,2017,348532394023.5947
Ireland,2018,395461216460.4177
Ireland,2019,407124824064.9954
Ireland,2020,436555518400.451
Ireland,2021,531306516907.9837
Ireland,2022,548570250341.9866
Ireland,2023,551394889339.7783
Iceland,2005,16852963067.049637
Iceland,2006,17465318552.294098
Iceland,2007,21652505596.75279
Iceland,2008,18074622987.01845
Iceland,2009,13154414219.206978
Iceland,2010,13751161917.739773
Iceland,2011,15221622925.931889
Iceland,2012,14751508133.544277
Iceland,2013,16125060515.31174
Iceland,2014,17867662177.89113
Iceland,2015,17517210519.091156
Iceland,2016,20793168030.952427
Iceland,2017,24728285177.460316
Iceland,2018,26260850582.06868
Iceland,2019,24681343649.29519
Iceland,2020,21629953194.065945
Iceland,2021,25825287184.381817
Iceland,2022,28770206626.556374
Iceland,2023,31325116556.38074
Italy,2005,1864982261286.8474
Italy,2006,1958563654385.6443
Italy,2007,2222524108127.6543
Italy,2008,2417508414187.187
Italy,2009,2209484319012.655
Italy,2010,2144936254535.0042
Italy,2011,2306974020278.215
Italy,2012,2097929495121.6802
Italy,2013,2153225581941.457
Italy,2014,2173255507985.8354
Italy,2015,1845428048839.1006
Italy,2016,1887111188176.9307
Italy,2017,1970720904584.7092
Italy,2018,2099435266458.665
Italy,2019,2019606796583.5261
Italy,2020,1907481094079.227
Italy,2021,2179207773596.089
Italy,2022,2102995942720.4363
Italy,2023,2300941152991.805
Lithuania,2005,26105207115.31285
Lithuania,2006,30116192746.894215
Lithuania,2007,39729151614.66885
Lithuania,2008,47831254207.522316
Lithuania,2009,37494380038.92132
Lithuania,2010,36638128534.06432
Lithuania,2011,43186501862.790695
Lithuania,2012,42709372066.862656
Lithuania,2013,46303660422.043365
Lithuania,2014,48306546656.92814
Lithuania,2015,41540954817.20389
Lithuania,2016,42970749245.03357
Lithuania,2017,47756764508.44596
Lithuania,2018,54261795148.537216
Lithuania,2019,55122066225.79599
Lithuania,2020,57412038533.27175
Lithuania,2021,67037321008.96792
Lithuania,2022,71033884499.78238
Lithuania,2023,79789877416.16808
Luxembourg,2005,37672280120.47936
Luxembourg,2006,42910146296.064644
Luxembourg,2007,51587401415.787224
Luxembourg,2008,58844277701.525764
Luxembourg,2009,54467289897.55817
Luxembourg,2010,56213985987.41678
Luxembourg,2011,61696281326.245255
Luxembourg,2012,59776383527.36017
Luxembourg,2013,65203276466.976265
Luxembourg,2014,68804811897.64447
Luxembourg,2015,60071584216.13747
Luxembourg,2016,62216885435.94879
Luxembourg,2017,65712180342.98364
Luxembourg,2018,71000359760.46112
Luxembourg,2019,69890505323.5842
Luxembourg,2020,73699366700.21344
Luxembourg,2021,85584105993.87459
Luxembourg,2022,81641807865.75908
Luxembourg,2023,85755006123.5976
Latvia,2005,16306935905.413815
Latvia,2006,20434922247.303738
Latvia,2007,29420499247.70893
Latvia,2008,34135200994.00672
Latvia,2009,25691530442.035027
Latvia,2010,23468324572.33428
Latvia,2011,26575547900.824738
Latvia,2012,27116149948.668335
Latvia,2013,29152128167.84381
Latvia,2014,30277203767.405777
Latvia,2015,26344565876.89022
Latvia,2016,27117105059.507458
Latvia,2017,29391059767.425934
Latvia,2018,33247935477.357624
Latvia,2019,33099503950.847004
Latvia,2020,33379927434.61488
Latvia,2021,38185125732.94512
Latvia,2022,38018905782.39703
Latvia,2023,42247850064.51251
Malta,2005,6393234993.533304
Malta,2006,6749840217.694701
Malta,2007,7908417717.404321
Malta,2008,9135423330.202513
Malta,2009,8734741331.60386
Malta,2010,9097044160.947304
Malta,2011,9789361703.697311
Malta,2012,9609532088.886833
Malta,2013,10796782637.510044
Malta,2014,11888032872.432009
Malta,2015,11340795041.806465
Malta,2016,12025782834.359617
Malta,2017,14161366723.677877
Malta,2018,16153779511.155882
Malta,2019,16337793530.778841
Malta,2020,16385919535.674227
Malta,2021,19718565605.43304
Malta,2022,19209979975.232304
Malta,2023,22328640241.555298
Netherlands,2005,688133699635.7974
Netherlands,2006,737593995289.4108
Netherlands,2007,853499460872.5518
Netherlands,2008,957901566041.406
Netherlands,2009,878954223140.2338
Netherlands,2010,852464982433.335
Netherlands,2011,913140741332.6866
Netherlands,2012,845689017065.6252
Netherlands,2013,883951539006.6692
Netherlands,2014,901556501756.4674
Netherlands,2015,775743675302.734
Netherlands,2016,797163949289.8853
Netherlands,2017,848233537845.8838
Netherlands,2018,929733599796.862
Netherlands,2019,928903005576.4691
Netherlands,2020,932560861701.1699
Netherlands,2021,1054472123449.5955
Netherlands,2022,1046540797548.6422
Netherlands,2023,1154361305398.0596
Norway,2005,309978579743.88824
Norway,2006,346915160681.7084
Norway,2007,402643260487.5719
Norway,2008,464917553191.4894
Norway,2009,387976400617.0189
Norway,2010,431052143940.4382
Norway,2011,501360549669.4038
Norway,2012,512777309840.997
Norway,2013,526014468085.1064
Norway,2014,501736471832.84814
Norway,2015,388159512245.53046
Norway,2016,370956547619.0476
Norway,2017,401745275035.26074
Norway,2018,439788625883.79956
Norway,2019,408742840909.0909
Norway,2020,367633418886.62726
Norway,2021,503367986030.26776
Norway,2022,593726965415.6191
Norway,2023,485310823603.662
Poland,2005,306999913150.52496
Poland,2006,345897630736.1726
Poland,2007,429715132137.5025
Poland,2008,535612030671.8877
Poland,2009,440891472247.09644
Poland,2010,478111630683.5141
Poland,2011,527848543023.4693
Poland,2012,498148649702.66003
Poland,2013,518179836405.3601
Poland,2014,542134167178.62683
Poland,2015,480054118583.3665
Poland,2016,473259583969.64294
Poland,2017,528356676667.21075
Poland,2018,594616687350.0171
Poland,2019,602683770144.8804
Poland,2020,605914237903.7422
Poland,2021,689170230665.3503
Poland,2022,695607470875.2762
Poland,2023,809200697797.0883
Portugal,2005,197253876704.9213
Portugal,2006,208756449275.84793
Portugal,2007,240496147317.38077
Portugal,2008,263416394624.08353
Portugal,2009,244667762835.54318
Portugal,2010,238443864993.21713
Portugal,2011,245426767676.00244
Portugal,2012,216536676771.97272
Portugal,2013,226677408291.74533
Portugal,2014,230078616299.67526
Portugal,2015,199038523119.63934
Portugal,2016,206305431241.63824
Portugal,2017,220862990767.2286
Portugal,2018,242092894542.88766
Portugal,2019,240115970063.01923
Portugal,2020,229618773422.5765
Portugal,2021,256055879091.13928
Portugal,2022,256898675068.92706
Portugal,2023,289114289663.54236
Romania,2005,98454380120.07607
Romania,2006,122023735992.70625
Romania,2007,174588782938.583
Romania,2008,214315932061.2754
Romania,2009,174110532658.86713
Romania,2010,170064350671.8273
Romania,2011,192623977894.17334
Romania,2012,179117323107.08725
Romania,2013,189798603751.23538
Romania,2014,199722319675.74106
Romania,2015,177885131240.31528
Romania,2016,185290759248.84393
Romania,2017,210147385855.41934
Romania,2018,243468683030.3401
Romania,2019,251677082534.49512
Romania,2020,252033792712.14456
Romania,2021,286578196368.29675
Romania,2022,296354358293.4749
Romania,2023,350775856415.1892
Slovakia,2005,62547753148.46378
Slovakia,2006,70751813442.98813
Slovakia,2007,86587749517.97243
Slovakia,2008,100830060552.90233
Slovakia,2009,89342984697.52455
Slovakia,2010,91112160800.76685
Slovakia,2011,99705104723.43405
Slovakia,2012,94724394278.05197
Slovakia,2013,99134277850.34184
Slovakia,2014,101713075598.86238
Slovakia,2015,89178548717.33238
Slovakia,2016,90347173228.63564
Slovakia,2017,95978130734.97664
Slovakia,2018,106611673364.83679
Slovakia,2019,105843498304.09395
Slovakia,2020,107732602896.44077
Slovakia,2021,120592216208.38567
Slovakia,2022,115928615553.28644
Slovakia,2023,132908336234.29451
Slovenia,2005,35947936823.77814
Slovenia,2006,39260368837.03425
Slovenia,2007,47880266542.57702
Slovenia,2008,55509332322.3578
Slovenia,2009,49975540954.84645
Slovenia,2010,47793117240.90009
Slovenia,2011,51199194599.30944
Slovenia,2012,46167053954.33673
Slovenia,2013,47867056858.88915
Slovenia,2014,49514466379.605705
Slovenia,2015,42709468274.81365
Slovenia,2016,44290685824.0682
Slovenia,2017,48153200134.66126
Slovenia,2018,53689067639.91761
Slovenia,2019,53909922735.54501
Slovenia,2020,53384760135.15813
Slovenia,2021,61529280461.09203
Slovenia,2022,59927702746.28428
Slovenia,2023,69148468417.32083
Sweden,2005,391690329314.4746
Sweden,2006,422530427475.5361
Sweden,2007,490050156832.57385
Sweden,2008,514616528348.83405
Sweden,2009,434313804907.3663
Sweden,2010,492753255885.71826
Sweden,2011,570541353128.7235
Sweden,2012,549742183874.3553
Sweden,2013,584128116410.29
Sweden,2014,577730245154.1624
Sweden,2015,501698263620.6632
Sweden,2016,514218206628.3252
Sweden,2017,536083940228.68365
Sweden,2018,551312498430.1636
Sweden,2019,532169294165.9397
Sweden,2020,545147614972.1406
Sweden,2021,637186904843.6361
Sweden,2022,579895717343.956
Sweden,2023,584960475767.3202
Turkiye,2005,506314717661.65546
Turkiye,2006,557076157773.4795
Turkiye,2007,681321124295.9143
Turkiye,2008,770449132861.373
Turkiye,2009,649289324627.7323
Turkiye,2010,776967266305.5303
Turkiye,2011,838785289694.35
Turkiye,2012,880555885492.2687
Turkiye,2013,957799120008.3204
Turkiye,2014,938934609296.9657
Turkiye,2015,864313810469.0094
Turkiye,2016,869682881593.0414
Turkiye,2017,858988492853.742
Turkiye,2018,778972108040.6018
Turkiye,2019,761005915750.9254
Turkiye,2020,720338490327.2477
Turkiye,2021,819865223976.115
Turkiye,2022,907118434653.5048
Turkiye,2023,1118252964260.773
